machine,n_total,n_normal,n_abnormal,auc,accuracy,precision,recall,f1,threshold
fan_id_00,807,574,233,0.5553,0.7088,0.4167,0.0215,0.0408,0.55368805
fan_id_02,824,620,204,0.7169,0.8022,0.806,0.2647,0.3985,0.40830803
fan_id_04,815,613,202,0.5924,0.7497,0.0,0.0,0.0,1.35979593
fan_id_06,814,584,230,0.7823,0.7248,0.625,0.0652,0.1181,1.36386681
pump_id_00,693,610,83,0.9184,0.9481,0.873,0.6627,0.7534,1.92277336
pump_id_02,710,648,62,0.8561,0.9099,0.4286,0.0968,0.1579,0.70967507
pump_id_04,486,420,66,0.8496,0.858,0.0,0.0,0.0,1.65984631
pump_id_06,647,587,60,0.7645,0.9181,0.7059,0.2,0.3117,1.62959766
slider_id_00,874,653,221,0.9588,0.8455,0.93,0.4208,0.5794,0.79100382
slider_id_02,793,639,154,0.9312,0.8802,0.8831,0.4416,0.5887,0.64474529
slider_id_04,419,306,113,0.7914,0.7327,0.5455,0.0531,0.0968,0.98524398
slider_id_06,399,339,60,0.5507,0.8221,0.1765,0.05,0.0779,0.68686688
valve_id_00,670,604,66,0.9459,0.903,0.5238,0.1667,0.2529,0.53407413
valve_id_02,488,410,78,0.8216,0.8402,0.5,0.0256,0.0488,0.88683534
valve_id_04,688,610,78,0.7259,0.8852,0.4444,0.0513,0.092,0.80036068
valve_id_06,685,615,70,0.5534,0.8934,0.3333,0.0429,0.0759,1.05472958
