machine,n_total,n_normal,n_abnormal,auc,accuracy,precision,recall,f1,threshold
fan_id_00,807,574,233,0.5206,0.7113,0.0,0.0,0.0,1.50637249
fan_id_02,824,620,204,0.5463,0.7524,0.0,0.0,0.0,1.05031706
fan_id_04,815,613,202,0.563,0.7521,0.0,0.0,0.0,1.34687904
fan_id_06,814,584,230,0.4632,0.7174,0.0,0.0,0.0,1.42302885
pump_id_00,693,610,83,0.4953,0.8802,0.0,0.0,0.0,1.13288574
pump_id_02,710,648,62,0.407,0.9127,0.0,0.0,0.0,1.2079565
pump_id_04,486,420,66,0.4854,0.8642,0.0,0.0,0.0,1.52845874
pump_id_06,647,587,60,0.4776,0.9073,0.0,0.0,0.0,1.52647109
slider_id_00,874,653,221,0.8056,0.7471,0.0,0.0,0.0,0.77734078
slider_id_02,793,639,154,0.5681,0.8058,0.0,0.0,0.0,1.45795865
slider_id_04,419,306,113,0.4788,0.7303,0.0,0.0,0.0,1.03694663
slider_id_06,399,339,60,0.4942,0.8496,0.0,0.0,0.0,1.35004275
valve_id_00,670,604,66,0.2871,0.9015,0.0,0.0,0.0,1.21742581
valve_id_02,488,410,78,0.4781,0.8402,0.0,0.0,0.0,1.64474875
valve_id_04,688,610,78,0.3955,0.8866,0.0,0.0,0.0,1.69237778
valve_id_06,685,615,70,0.5231,0.8978,0.0,0.0,0.0,1.88303846
